Week,gishikiTime,gishiki,shiraoTime,shirao,sengenTime,sengen
一,,,01:26,白樺林,01:04,力王山脈
一,02:24,孤村 / 豬豬農場,02:56,風之平原,02:35,知性森林
一,,,04:30,白樺林,04:08,力王山脈
一,05:05,鬼都 / 豬豬農場,,,05:39,武神荒野
一,,,06:05,白樺林,,
一,,,07:35,風之平原,07:13,武神荒野
一,08:52,灰狼村 / 鬼都,,,08:42,力王山脈
一,,,09:03,風之平原,,
一,,,10:28,白樺林,10:12,知性森林
一,,,11:58,風之平原,11:39,知性森林
一,12:38,土門客桟 / 染坊,,,,
一,,,13:32,白樺林,13:11,知性森林
一,,,14:59,白樺林,14:46,力王山脈
一,16:55,悲鳴村 / 灰狼村,16:27,白樺林,16:19,知性森林
一,,,17:55,白樺林,17:50,力王山脈
一,,,19:22,白樺林,19:21,力王山脈
一,20:30,灰狼村 / 雪原(叛軍駐地) ,20:50,風之平原,20:56,知性森林
一,,,22:25,白樺林,22:27,武神荒野
二,,,00:00,白樺林,00:00,力王山脈
二,01:00,黑森林 / 孤村,01:30,白樺林,01:34,知性森林
二,,,,,03:05,武神荒野
二,,,,,04:33,力王山脈
二,05:02,灰狼村 /  雪原(叛軍駐地),05:53,風之平原,,
二,,,,,06:00,武神荒野
二,,,07:23,風之平原,07:26,武神荒野
二,08:37,悲鳴村 / 豬豬農場,08:58,風之平原,08:53,力王山脈
二,,,10:24,白樺林,10:21,力王山脈
二,,,11:51,白樺林,11:50,武神荒野
二,12:11,孤村 / 土門客桟,,,,
二,,,13:22,風之平原,13:19,力王山脈
二,,,14:55,白樺林,14:53,武神荒野
二,16:02,悲鳴村 / 土門客桟,16:29,白樺林,16:25,力王山脈
二,,,17:59,白樺林,17:56,武神荒野
二,19:58, 孤村 / 灰狼村,19:27,白樺林,19:21,力王山脈
二,,,,,20:48,武神荒野
二,,,21:02,風之平原,,
二,,,22:30,白樺林,22:21,力王山脈
二,23:13,豬豬海岸 / 鬼都,,,23:50,力王山脈
三,,,00:05,風之平原,00:59,知性森林
三,,,01:33,風之平原,,
三,02:17,灰狼村 / 雪原(叛軍駐地),,,02:28,武神荒野
三,,,03:07,風之平原,,
三,,,,,04:00_?,力王山脈
三,,,,,05:3×,知性森林
三,06:00,06-11 例行維護中,06:00,06-11 例行維護中,06:00,06-11 例行維護中
三,07:00,06-11 例行維護中,07:00,06-11 例行維護中,07:02,06-11 例行維護中
三,08:00,06-11 例行維護中,08:00,06-11 例行維護中,08:33,06-11 例行維護中
三,09:00,06-11 例行維護中,09:00,06-11 例行維護中,09:59,06-11 例行維護中
三,10:09,06-11 例行維護中,10:48,06-11 例行維護中,10:00,06-11 例行維護中
三,,,,,11:24,武神荒野
三,,,12:20,風之平原,12:59,武神荒野
三,,,13:45,風之平原,,
三,14:18,灰狼村 / 豬豬農場,,,14:31,武神荒野
三,,,15:20,風之平原,,
三,,,16:52,白樺林,16:00,力王山脈
三,17:15,悲鳴村 / 灰狼村,,,17:33,武神荒野
三,,,18:18,風之平原,,
三,,,19:49,白樺林,19:04,知性森林
三,,,,,20:35,知性森林
三,21:03,灰狼村 / 染坊,21:22,白樺林,,
三,,,22:51,白樺林,22:06,知性森林
三,23:49,悲鳴村 / 豬豬農場,,,23:33,知性森林
四,,,00:00,白樺林,00:55,武神荒野
四,,,01:32,風之平原,,
四,02:10,灰狼村 / 染坊,,,02:22,知性森林
四,,,03:01,白樺林,03:49,武神荒野
四,04:50,黒森林 / 土門客桟,04:32,白樺林,,
四,,,,,05:20,力王山脈
四,,,06:06,風之平原,06:52,荒野武神
四,,,07:34,白樺林,,
四,08:15,黒森林 / 染坊,,,08:26,知性森林
四,,,09:06,風之平原,09:57,知性森林
四,,,10:31,白樺林,,
四,11:30,土門客桟 / 雪原(叛軍駐地),,,11:24,力王山脈
四,,,12:01,白樺林,12:55,知性森林
四,,,13:28,白樺林,,
四,,,14:53,白樺林,14:20,武神荒野
四,15:32,鬼都 / 雪原(叛軍駐地),,,15:45,力王山脈
四,,,16:24,風之平原,,
四,,,17:52,白樺林,17:14,武神荒野
四,,,,,18:46,武神荒野
四,,,19:17,風之平原,,
四,20:02,悲鳴村 / 鬼都,20:42,白樺林,20:12,武神荒野
四,,,,,21:41,力王山脈
四,,,22:16,白樺林,,
四,,,23:49,風之平原,23:13,武神荒野
五,00:00,土門客桟 / 灰狼村,00:55,白樺林,00:00,武神荒野
五,,,,,01:35,力王山脈
五,02:46,悲鳴村 / 豬豬海岸,02:23,白樺林,,
五,,,03:58,風之平原,03:03,力王山脈
五,,,,,04:34,力王山脈
五,05:47,孤村 / 悲鳴村,05:29,白樺林,,
五,,,,,06:01,知性森林
五,,,07:00,白樺林,07:28,力王山脈
五,,,08:26,白樺林,08:53,武神荒野
五,09:28,灰狼村 / 孤村,,,,
五,,,10:01,白樺林,10:18,知性森林
五,11:59,染坊 / 雪原(叛軍駐地),11:34,風之平原,11:47,武神荒野
五,,,13:04,風之平原,13:13,知性森林
五,,,14:33,白樺林,14:45,力王山脈
五,15:50,黒森林 / 孤村,,,,
五,,,16:08,風之平原,16:18,力王山脈
五,,,17:38,白樺林,17:51,力王山脈
五,19:30,巨岩海岸 / 染坊,19:04,白樺林,19:21,武神荒野
五,,,20:34,風之平原,20:48,武神荒野
五,22:13,黒森林 / 豬豬海岸,22:06,白樺林,22:22,知性森林
五,,,23:39,風之平原,23:47,知性森林
六,,,00:55,白樺林,00:58,力王山脈
六,01:17,土門客桟 / 悲鳴村,,,,
六,,,02:24,白樺林,02:25,知性森林
六,,,03:52,白樺林,03:51,力王山脈
六,05:46,黒森林 / 鬼都,05:27,風之平原,05:17,武神荒野
六,,,06:54,白樺林,06:45,知性森林
六,08:28,豬豬海岸 / 鬼都,08:28,風之平原,08:12,知性森林
六,,,,,09:39,武神荒野
六,,,10:00,白樺林,,
六,11:08,黒森林 / 鬼都,11:28,白樺林,11:10,力王山脈
六,,,12:58,風之平原,12:44,力王山脈
六,14:27,土門客桟 / 灰狼村,14:24,白樺林,14:13,武神荒野
六,,,15:58,白樺林,15:41,力王山脈
六,17:18,巨岩海岸 / 灰狼村,17:29,白樺林,17:09,知性森林
六,,,,,18:36,知性森林
六,,,19:00,白樺林,,
六,,,20:34,風之平原,20:03,力王山脈
六,21:43,黒森林 / 豬豬海岸,21:59,風之平原,21:28,力王山脈
六,,,,,22:59,武神荒野
六,,,23:59,風之平原,,
日,,,00:59,白樺林,,
日,,,,,01:01,力王山脈
日,,,02:24,風之平原,02:33,武神荒野
日,03:21,巨岩海岸 / 土門客桟,03:54,風之平原,,
日,,,,,04:04,武神荒野
日,,,05:26,白樺林,05:34,知性森林
日,,,06:57,風之平原,,
日,07:15,土門客桟 / 悲鳴村,,,07:01,武神荒野
日,,,08:24,風之平原,08:27,武神荒野
日,,,09:52,風之平原,,
日,10:57,孤村 / 悲鳴村,,,09:55,武神荒野
日,,,11:27,白樺林,11:24,力王山脈
日,,,12:56,白樺林,12:59,知性森林
日,13:28,黒森林 / 土門客桟,,,,
日,,,14:21,風之平原,14:26,力王山脈
日,,,15:56,風之平原,15:59,知性森林
日,16:30,巨岩海岸 / 染坊,,,,
日,,,17:21,白樺林,17:33,力王山脈
日,,,18:49,白樺林,,
日,,,,,19:07,武神荒野
日,20:19,土門客桟 / 雪原(叛軍駐地),20:14,風之平原,20:40,知性森林
日,,,21:39,白樺林,,
日,,,,,22:14,知性森林
日,23:06,土門客桟 / 鬼都,23:11,風之平原,23:42,知性森林
