week,time,type,location
1,02:24,gishiki,孤村 / 豬豬農場
1,05:05,gishiki,鬼都 / 豬豬農場
1,08:52,gishiki,灰狼村 / 鬼都
1,12:38,gishiki,土門客桟 / 染坊
1,16:55,gishiki,悲鳴村 / 灰狼村
1,20:30,gishiki,灰狼村 / 雪原(叛軍駐地) 
2,01:00,gishiki,黑森林 / 孤村
2,05:02,gishiki,灰狼村 /  雪原(叛軍駐地)
2,08:37,gishiki,悲鳴村 / 豬豬農場
2,12:11,gishiki,孤村 / 土門客桟
2,16:02,gishiki,悲鳴村 / 土門客桟
2,19:58,gishiki, 孤村 / 灰狼村
2,23:13,gishiki,豬豬海岸 / 鬼都
3,02:17,gishiki,灰狼村 / 雪原(叛軍駐地)
3,06:00,gishiki,06-11 例行維護中
3,07:00,gishiki,06-11 例行維護中
3,08:00,gishiki,06-11 例行維護中
3,09:00,gishiki,06-11 例行維護中
3,10:09,gishiki,06-11 例行維護中
3,14:18,gishiki,灰狼村 / 豬豬農場
3,17:15,gishiki,悲鳴村 / 灰狼村
3,21:03,gishiki,灰狼村 / 染坊
3,23:49,gishiki,悲鳴村 / 豬豬農場
4,02:10,gishiki,灰狼村 / 染坊
4,04:50,gishiki,黒森林 / 土門客桟
4,08:15,gishiki,黒森林 / 染坊
4,11:30,gishiki,土門客桟 / 雪原(叛軍駐地)
4,15:32,gishiki,鬼都 / 雪原(叛軍駐地)
4,20:02,gishiki,悲鳴村 / 鬼都
5,00:00,gishiki,土門客桟 / 灰狼村
5,02:46,gishiki,悲鳴村 / 豬豬海岸
5,05:47,gishiki,孤村 / 悲鳴村
5,09:28,gishiki,灰狼村 / 孤村
5,11:59,gishiki,染坊 / 雪原(叛軍駐地)
5,15:50,gishiki,黒森林 / 孤村
5,19:30,gishiki,巨岩海岸 / 染坊
5,22:13,gishiki,黒森林 / 豬豬海岸
6,01:17,gishiki,土門客桟 / 悲鳴村
6,05:46,gishiki,黒森林 / 鬼都
6,08:28,gishiki,豬豬海岸 / 鬼都
6,11:08,gishiki,黒森林 / 鬼都
6,14:27,gishiki,土門客桟 / 灰狼村
6,17:18,gishiki,巨岩海岸 / 灰狼村
6,21:43,gishiki,黒森林 / 豬豬海岸
7,03:21,gishiki,巨岩海岸 / 土門客桟
7,07:15,gishiki,土門客桟 / 悲鳴村
7,10:57,gishiki,孤村 / 悲鳴村
7,13:28,gishiki,黒森林 / 土門客桟
7,16:30,gishiki,巨岩海岸 / 染坊
7,20:19,gishiki,土門客桟 / 雪原(叛軍駐地)
7,23:06,gishiki,土門客桟 / 鬼都
1,01:26,shirao,白樺林
1,02:56,shirao,風之平原
1,04:30,shirao,白樺林
1,06:05,shirao,白樺林
1,07:35,shirao,風之平原
1,09:03,shirao,風之平原
1,10:28,shirao,白樺林
1,11:58,shirao,風之平原
1,13:32,shirao,白樺林
1,14:59,shirao,白樺林
1,16:27,shirao,白樺林
1,17:55,shirao,白樺林
1,19:22,shirao,白樺林
1,20:50,shirao,風之平原
1,22:25,shirao,白樺林
2,00:00,shirao,白樺林
2,01:30,shirao,白樺林
2,05:53,shirao,風之平原
2,07:23,shirao,風之平原
2,08:58,shirao,風之平原
2,10:24,shirao,白樺林
2,11:51,shirao,白樺林
2,13:22,shirao,風之平原
2,14:55,shirao,白樺林
2,16:29,shirao,白樺林
2,17:59,shirao,白樺林
2,19:27,shirao,白樺林
2,21:02,shirao,風之平原
2,22:30,shirao,白樺林
3,00:05,shirao,風之平原
3,01:33,shirao,風之平原
3,03:07,shirao,風之平原
3,06:00,shirao,06-11 例行維護中
3,07:00,shirao,06-11 例行維護中
3,08:00,shirao,06-11 例行維護中
3,09:00,shirao,06-11 例行維護中
3,10:48,shirao,06-11 例行維護中
3,12:20,shirao,風之平原
3,13:45,shirao,風之平原
3,15:20,shirao,風之平原
3,16:52,shirao,白樺林
3,18:18,shirao,風之平原
3,19:49,shirao,白樺林
3,21:22,shirao,白樺林
3,22:51,shirao,白樺林
4,00:00,shirao,白樺林
4,01:32,shirao,風之平原
4,03:01,shirao,白樺林
4,04:32,shirao,白樺林
4,06:06,shirao,風之平原
4,07:34,shirao,白樺林
4,09:06,shirao,風之平原
4,10:31,shirao,白樺林
4,12:01,shirao,白樺林
4,13:28,shirao,白樺林
4,14:53,shirao,白樺林
4,16:24,shirao,風之平原
4,17:52,shirao,白樺林
4,19:17,shirao,風之平原
4,20:42,shirao,白樺林
4,22:16,shirao,白樺林
4,23:49,shirao,風之平原
5,00:55,shirao,白樺林
5,02:23,shirao,白樺林
5,03:58,shirao,風之平原
5,05:29,shirao,白樺林
5,07:00,shirao,白樺林
5,08:26,shirao,白樺林
5,10:01,shirao,白樺林
5,11:34,shirao,風之平原
5,13:04,shirao,風之平原
5,14:33,shirao,白樺林
5,16:08,shirao,風之平原
5,17:38,shirao,白樺林
5,19:04,shirao,白樺林
5,20:34,shirao,風之平原
5,22:06,shirao,白樺林
5,23:39,shirao,風之平原
6,00:55,shirao,白樺林
6,02:24,shirao,白樺林
6,03:52,shirao,白樺林
6,05:27,shirao,風之平原
6,06:54,shirao,白樺林
6,08:28,shirao,風之平原
6,10:00,shirao,白樺林
6,11:28,shirao,白樺林
6,12:58,shirao,風之平原
6,14:24,shirao,白樺林
6,15:58,shirao,白樺林
6,17:29,shirao,白樺林
6,19:00,shirao,白樺林
6,20:34,shirao,風之平原
6,21:59,shirao,風之平原
6,23:59,shirao,風之平原
7,00:59,shirao,白樺林
7,02:24,shirao,風之平原
7,03:54,shirao,風之平原
7,05:26,shirao,白樺林
7,06:57,shirao,風之平原
7,08:24,shirao,風之平原
7,09:52,shirao,風之平原
7,11:27,shirao,白樺林
7,12:56,shirao,白樺林
7,14:21,shirao,風之平原
7,15:56,shirao,風之平原
7,17:21,shirao,白樺林
7,18:49,shirao,白樺林
7,20:14,shirao,風之平原
7,21:39,shirao,白樺林
7,23:11,shirao,風之平原
1,01:04,sengen,力王山脈
1,02:35,sengen,知性森林
1,04:08,sengen,力王山脈
1,05:39,sengen,武神荒野
1,07:13,sengen,武神荒野
1,08:42,sengen,力王山脈
1,10:12,sengen,知性森林
1,11:39,sengen,知性森林
1,13:11,sengen,知性森林
1,14:46,sengen,力王山脈
1,16:19,sengen,知性森林
1,17:50,sengen,力王山脈
1,19:21,sengen,力王山脈
1,20:56,sengen,知性森林
1,22:27,sengen,武神荒野
2,00:00,sengen,力王山脈
2,01:34,sengen,知性森林
2,03:05,sengen,武神荒野
2,04:33,sengen,力王山脈
2,06:00,sengen,武神荒野
2,07:26,sengen,武神荒野
2,08:53,sengen,力王山脈
2,10:21,sengen,力王山脈
2,11:50,sengen,武神荒野
2,13:19,sengen,力王山脈
2,14:53,sengen,武神荒野
2,16:25,sengen,力王山脈
2,17:56,sengen,武神荒野
2,19:21,sengen,力王山脈
2,20:48,sengen,武神荒野
2,22:21,sengen,力王山脈
2,23:50,sengen,力王山脈
3,00:59,sengen,知性森林
3,02:28,sengen,武神荒野
3,04:00_?,sengen,力王山脈
3,05:3×,sengen,知性森林
3,06:00,sengen,06-11 例行維護中
3,07:02,sengen,06-11 例行維護中
3,08:33,sengen,06-11 例行維護中
3,09:59,sengen,06-11 例行維護中
3,10:00,sengen,06-11 例行維護中
3,11:24,sengen,武神荒野
3,12:59,sengen,武神荒野
3,14:31,sengen,武神荒野
3,16:00,sengen,力王山脈
3,17:33,sengen,武神荒野
3,19:04,sengen,知性森林
3,20:35,sengen,知性森林
3,22:06,sengen,知性森林
3,23:33,sengen,知性森林
4,00:55,sengen,武神荒野
4,02:22,sengen,知性森林
4,03:49,sengen,武神荒野
4,05:20,sengen,力王山脈
4,06:52,sengen,荒野武神
4,08:26,sengen,知性森林
4,09:57,sengen,知性森林
4,11:24,sengen,力王山脈
4,12:55,sengen,知性森林
4,14:20,sengen,武神荒野
4,15:45,sengen,力王山脈
4,17:14,sengen,武神荒野
4,18:46,sengen,武神荒野
4,20:12,sengen,武神荒野
4,21:41,sengen,力王山脈
4,23:13,sengen,武神荒野
5,00:00,sengen,武神荒野
5,01:35,sengen,力王山脈
5,03:03,sengen,力王山脈
5,04:34,sengen,力王山脈
5,06:01,sengen,知性森林
5,07:28,sengen,力王山脈
5,08:53,sengen,武神荒野
5,10:18,sengen,知性森林
5,11:47,sengen,武神荒野
5,13:13,sengen,知性森林
5,14:45,sengen,力王山脈
5,16:18,sengen,力王山脈
5,17:51,sengen,力王山脈
5,19:21,sengen,武神荒野
5,20:48,sengen,武神荒野
5,22:22,sengen,知性森林
5,23:47,sengen,知性森林
6,00:58,sengen,力王山脈
6,02:25,sengen,知性森林
6,03:51,sengen,力王山脈
6,05:17,sengen,武神荒野
6,06:45,sengen,知性森林
6,08:12,sengen,知性森林
6,09:39,sengen,武神荒野
6,11:10,sengen,力王山脈
6,12:44,sengen,力王山脈
6,14:13,sengen,武神荒野
6,15:41,sengen,力王山脈
6,17:09,sengen,知性森林
6,18:36,sengen,知性森林
6,20:03,sengen,力王山脈
6,21:28,sengen,力王山脈
6,22:59,sengen,武神荒野
