week,type,time,location
3,gishiki,13:27,黒森林 / 土門客桟
3,gishiki,16:16,巨岩海岸 / 豬豬農場
3,gishiki,20:45,土門客桟 / 染坊
4,gishiki,00:45,灰狼村 / 染坊
4,gishiki,03:33,灰狼村 / 染坊
4,gishiki,12:54,土門客桟 / 豬豬農場
4,gishiki,16:29,灰狼村 / 雪原(叛軍駐地)
4,gishiki,20:00,灰狼村 / 染坊
4,gishiki,23:46,土門客桟 / 灰狼村
5,gishiki,02:45,黒森林 / 灰狼村
5,gishiki,06:49,灰狼村 / 鬼都
5,gishiki,10:49,灰狼村 / 鬼都
5,gishiki,13:26,孤村 / 鬼都
3,shirao,12:42,風之平原
3,shirao,14:08,風之平原
3,shirao,15:37,白樺林
3,shirao,17:02,風之平原
3,shirao,18:36,白樺林
3,shirao,20:02,風之平原
3,shirao,21:35,白樺林
3,shirao,23:06,風之平原
4,shirao,00:00,風之平原
4,shirao,01:27,白樺林
4,shirao,02:58,風之平原
4,shirao,04:25,白樺林
4,shirao,05:58,白樺林
4,shirao,07:31,風之平原
4,shirao,08:58,白樺林
4,shirao,10:28,白樺林
4,shirao,11:55,白樺林
4,shirao,13:21,風之平原
4,shirao,14:48,白樺林
4,shirao,16:17,白樺林
4,shirao,17:47,風之平原
4,shirao,19:17,白樺林
4,shirao,20:43,白樺林
4,shirao,22:17,風之平原
4,shirao,23:45,白樺林
5,shirao,01:01,白樺林
5,shirao,02:29,風之平原
5,shirao,04:01,風之平原
5,shirao,07:04,風之平原
5,shirao,08:29,白樺林
5,shirao,09:57,風之平原
5,shirao,11:23,白樺林
5,shirao,12:56,白樺林
5,shirao,14:28,風之平原
3,sengen,11:48,力王山脈
3,sengen,13:16,武神荒野
3,sengen,14:51,知性森林
3,sengen,16:18,武神荒野
3,sengen,17:49,武神荒野
3,sengen,19:22,武神荒野
3,sengen,20:47,武神荒野
3,sengen,22:14,力王山脈
3,sengen,23:44,知性森林
4,sengen,00:57,武神荒野
4,sengen,02:28,武神荒野
4,sengen,03:57,力王山脈
4,sengen,05:32,力王山脈
4,sengen,07:02,力王山脈
4,sengen,08:32,武神荒野
4,sengen,10:02,力王山脈
4,sengen,11:34,知性森林
4,sengen,13:07,武神荒野
4,sengen,14:39,知性森林
4,sengen,16:11,力王山脈
4,sengen,17:44,知性森林
4,sengen,19:10,力王山脈
4,sengen,20:42,知性森林
4,sengen,22:13,力王山脈
4,sengen,23:41,知性森林
5,sengen,01:00,力王山脈
5,sengen,02:30_?,武神荒野
5,sengen,04:02_?,知性森林
5,sengen,05:25_?,武神荒野
5,sengen,06:55,力王山脈
5,sengen,08:27,武神荒野
5,sengen,09:52,知性森林
5,sengen,11:26,知性森林
5,sengen,12:59,武神荒野
5,sengen,14:27,知性森林
